X,ABIBAL,ABIBAL2,ACEPEN,ACEPEN2,ACERUB,ACESAC,ACESAC2,ACESPI,ACESPI2,ACHMIL,ACTPAC,ACTRUB,ACTSPP,AGEALT,AGRPER,AGRSCA,AGRSPP,AGRSTO,ALNINC,ALNRUG,AMECFB,AMESAN,AMESPI,AMESPP,AMESPP2,ANAMAR,ANEQUI,APOAND,ARANUD,ARARAC,ARITRI,AROFLO,ASACAN,ATHANG,BARVUL,BERTHU,BETALL,BETALL2,BETCOR,BETCOR2,BETLEN,BETPAP,BETPOP,BETSPP,BIDSPP,BOTVIR,BRAARI,BRAERE,CARALB,CARARC,CARBRU,CARCAB,CARCOM,CARCRI,CARDEB,CARDEW,CARDIP,CARECH,CAREXWIMPY,CARFOL,CARGRA,CARGYN,CARINT,CARLAX,CARLEP,CARLUR,CARNOV,CARPED,CARPEN,CARPLA,CARPRO,CARROS,CARSCA,CARSCO,CARSPP,CARSTI,CARTRI,CAUTHA,CHAANG,CHACAL,CHACAN,CHEGLA,CHIUMB,CHRAME,CINLAT,CIRALP,CLEVIR,CLIBOR,COPTRI,CORALT,CORCOR,CRAINT,CRASPP,CRECAP,CRESPP,CYPACA,DANCOM,DANSPI,DENDEN,DENOBS,DENPUN,DEPACR,DICACU,DIELON,DIPDIG,DOEUMB,DRYCAM,DRYCAR,DRYCRI,DRYINT,DRYMAR,EPICIL,EPIHEL,EPISPP,EPIVIR,EQUARV,ERIPUL,ERYAME,EURDIV,EURMAC,EUTGRA,FAGGRA,FAGGRA2,FALCIL,FRAAME,FRAPEN,FRAVES,FRAVIR,GALAPA,GALASP,GALSPP,GALTET,GALTRI,GAUHIS,GAUPRO,GLYBOR,GLYMEL,GOOPUB,GOOSPP,GOOTES,GYMDRY,HAMVIR,HAMVIR2,HIEPAN,HIESCA,HIESPP,HUPLUC,HYDAME,ILEMUC,IMPCAP,JUNEFF,LACBIE,LACSPP,LAPCAN,LINBOR,LOBCAR,LONCAN,LONSPP,LUZMUL,LYCCLA,LYCHIC,LYCSPP,LYCUNI,LYSCIL,LYSTER,MAICAN,MAIRAC,MATSTR,MEDVIR,MITREP,MONUNI,NABALT,NABSPP,NABTRI,OCLACU,ONOSEN,OSMCIN,OSMCLA,OSMCLT,OSMREG,OXAMON,OXASTR,PARNOV,PHECON,PICRUB,PICRUB2,PINRES,PINSTR,PLACLA,POAALS,POLACR,POLAPP,POLPUB,POLVIR,POPGRA,POPSPP,POPTRE,POTREC,POTSIM,PREALT,PRUPEN,PRUSER,PRUSPP,PRUVIR,PRUVUL,PRYOLA,PTEAQU,PYRELL,PYRSPP,QUERUB,RANREC,RANSPP,RHOCAN,RIBGLA,RIBLAC,RIBSPP,RIBTRI,ROSPAL,RUBALL,RUBCAN,RUBDAL,RUBFLA,RUBHIS,RUBIDA,RUBPEN,RUBPUB,RUBSPP,RUBVER,SALBEB,SAMRAC,SAMSPP,SCIATR,SCICYP,SCIPED,SCISPP,SCOAUT,SCULAT,SOLCAE,SOLCAN,SOLFLE,SOLMAC,SOLRUG,SOLSPP,SORAME,SORDEC,SORSPP,SPIALB,SPIANN,SPILAT,SPITOM,STRAMP,STRLAN,STRSPP,SYMCOR,SYMLAT,SYMPUN,SYMRAC,TAROFF,THAPUB,THEPAL,THESPP,TIACOR,TILAME,TRIARI,TRIBOR,TRIERE,TRIGRA,TRISPP,TRITRI,TRIUND,TSUCAN,TSUCAN2,ULMAME,UNK002,UNK004,UNK007,UNK009,UNK010,UNK013,UNK016,UNK017,UNK019,UNK021,UNK024,UNK029,UNK030,UNK031,UNK033,UNK035,UNK036,UNK039,UNK041,UNK042,UNK043,UNK044,UVUSES,VACANG,VACCOR,VACMYR,VIBACE,VIBDEN,VIBLAN,VIBLAN2,VIBLEN,VIBNUD,VIBOPU,VIOBLA,VIOCUC,VIOPAL,VIOPUB,VIOROT,VIOSEL,VIOSOR,VIOSPP,ZIZAUR
1,0.01,0,355,0,4,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,37.2,62.8,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0.01,0,0,533,0,0,0,0,0,0,0,0,0,0,0,204,364,0,30.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,17.6,0,0,27.4,20,0,72,0,0,0,0,0,0,700,0,21.6,0,2460,4.5,320,805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,24,0.01,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,4.2,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,5334,0,0,0,0,67,0,0,0,0,0,0,0,0
2,0.01,0,599.6,0,12.4,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594,0,1.8,0,0,0.01,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,44,0.01,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,84,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,1.2,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,14,0.01,0,0.01,0.01,0,0,0.01,0,0,0,0,0,0.01,0,12,0,3738,0.01,483,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0,70.2,0,0,0,0,0,0,0,0,0,0.01,0,0,23.4,0,0,0.01,0,0,10.6,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,184.8,0,0,0,0,0,1368,0,0,0,0,0.01,0,0,0,0,0,0,0,0
3,0,0,378,0,12.8,56.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,2009,0,0,0,0,0,0,0,0,0,0,0,13.2,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.2,0.01,0,0,0.01,0,0,0.01,0,0,0,0,3.6,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.8,0,0,0,0,0,48,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0
7,3.2,63,33.6,0,0,14.8,0,19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0.01,0,0,16.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,8,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,264,0,0,0,0,0,0,0,0,0,0,0,9,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.8,0,0,0,0,0,3600,0,0,0.01,0,9.6,0,0,0,3.2,0,0,0,0
13,0,0,2.4,0,0,102.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0.01,0.01,0,0,304,0,0,278.4,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0.01,0,0,0,0,0,1859,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,346.8,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,84,0,0,0,0,0,0,1482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,62.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,36,0,0,0,0.01,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,259.2,0,0
14,0.01,0,102.4,0,2,37.2,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,57,0,0,0,0,0,0,0,0,0,0,0,200,1088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.4,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,13.6,0,793,0.01,0.01,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,2131,0,0,0,0,0.01,0,0,0,0,0,0,0,0
21,0.01,0,558.8,0,0,0.01,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0.01,0,0,512,0,0,0,0,0,0,0,0,0,0,0,910,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,339.6,0,0,0.01,0,0,101.6,0,0.01,0,0.01,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,6,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0.01,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,94.5,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0
24,0.01,0,5,0,0,0.01,0,1487,1024,0,0,149.6,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0.01,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2097,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0.01,0,0,0,0.01,0,322,0,0,0,0,0,88,0,0,200,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.8,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,33.6,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1520,0,0,0,0,188,0,0,0,0,0,0,0,0
26,0,0,1.2,0,3.6,16.8,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0,87,0,240,0,0,0,22,0,34,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,34.8,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,30.8,0,0,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,49.6,0,0.01,105.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0.01,0,0,0.01,0,0,778,0,0,0,0,0,0,0,0,0,0,0,134,0,36.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.01,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,102.8,0,0.01,77.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,704,0,0,0,0,0,0,0,0,0,0,0,46,727,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,117.4,0,0,0,0,0,0,0,0,0,0,0,19.6,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.4,0,0,0,0,0,714,0,0,0,0,1.6,0,0,0,0.01,0,0,0,0
33,0,0,487.2,0,14.8,68.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.2,0,0,0,0,0,0,1.6,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,68,0,0,0,0,0,0,0,0,0,0,0,293.4,0,0,81.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,9,9.6,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,71.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,38.4,0.01,0,8,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509,0,0,0,0,0,0.01,0,0,0,0,4.8,0,0,0,44,0,0,0,0
